crop,season,soil_type,sown_month,harvested_month,water_source,ph,crop_duration_days,temperature,humidity,n,p,k
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.6,116.9,26.9,73.8,82.4,40.7,42.2
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.2,117.9,35.8,60.9,90.5,51.3,46.2
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.7,117.7,34.9,67.5,86.2,50.7,44.4
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.1,149.8,28.3,73.6,91.3,51.3,44.5
Rice,Kharif,Loamy,Jun,Sep,Irrigated,8.0,131.7,26.3,60.3,81.3,48.6,51.0
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.9,137.7,28.3,60.9,97.6,40.1,56.3
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.3,143.3,25.7,70.1,84.2,54.4,43.0
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.4,132.8,34.4,73.4,96.0,40.2,52.7
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.6,115.8,25.1,76.7,90.7,48.5,40.4
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.9,116.9,26.4,73.2,87.6,59.2,42.5
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.5,112.8,33.6,62.8,88.8,52.5,56.6
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.1,122.1,35.3,71.9,86.9,54.1,59.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.3,124.5,21.5,61.3,83.4,59.8,47.6
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.4,121.7,32.8,60.7,89.9,44.3,47.1
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.9,133.5,22.8,78.6,86.3,53.3,57.8
Rice,Kharif,Silt,Jul,Oct,Rainfed,8.0,118.8,27.6,68.0,98.7,45.9,50.0
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.0,123.9,27.9,63.4,91.8,53.3,53.9
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.0,116.7,34.9,79.6,84.3,54.6,50.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.6,139.2,28.5,64.3,87.9,47.6,53.8
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.1,122.7,37.5,75.7,84.3,59.4,53.5
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.8,142.0,23.5,65.8,86.7,59.4,44.7
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.7,124.1,28.6,61.9,99.5,42.3,40.6
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.1,150.0,34.6,72.5,94.5,49.6,59.4
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.0,134.7,34.9,79.9,85.2,54.9,53.1
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.9,142.0,26.2,66.3,88.5,42.7,57.3
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.5,143.4,31.6,67.2,97.2,48.5,49.1
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.1,135.7,20.2,69.3,99.8,54.4,44.8
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.7,128.8,32.2,75.5,92.9,51.9,53.7
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.8,116.6,37.2,75.0,95.9,57.5,54.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.8,135.1,31.6,66.3,93.6,45.0,55.1
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.6,130.1,20.9,67.1,80.2,40.4,56.5
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.5,128.2,26.9,63.8,99.6,46.9,44.0
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.3,134.9,30.0,62.1,96.8,43.2,58.9
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.4,116.3,30.3,69.9,89.0,53.6,44.0
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.7,140.2,35.5,60.8,91.3,53.6,56.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.0,113.3,30.8,63.4,87.7,42.4,58.2
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.5,139.2,26.7,75.9,99.6,46.1,53.9
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.1,120.5,36.6,67.3,80.8,46.8,59.9
